Alert ID,Ticker,Name,Description,Time
624098668,"FTX:MATICUSD, 1m",,"{""passphrase"": ""8j4tr38j8jfsvdap98g"",
     ""ticker"": ""MATICUSD"",
     ""Buy"": 0,
     ""Minimal_Buy"": 0,
     ""Strong_Buy"": 0,
     ""Minimal_Strong_Buy"": 0,
     ""Exit_Buy"": null,
     ""Sell"": 1,
     ""Minimal_Sell"": 0,
     ""Strong_Sell"": 0,
     ""Minimal_Strong_Sell"": 0,
     ""Exit_Sell"": null,
     ""bar"": {
         ""time"": ""2022-10-17T02:47:00Z"",
         ""open"": 0.8024,
         ""high"": 0.8025,
         ""low"": 0.8023,
         ""close"": 0.8023,
         ""volume"": 0}
     }",2022-10-17T02:47:16.000Z
624098559,"FTX:BTCUSD, 1m",,"{""passphrase"": ""8j4tr38j8jfsvdap98g"",
     ""ticker"": ""BTCUSD"",
     ""Buy"": 0,
     ""Minimal_Buy"": 0,
     ""Strong_Buy"": 1,
     ""Minimal_Strong_Buy"": 0,
     ""Exit_Buy"": null,
     ""Sell"": 0,
     ""Minimal_Sell"": 0,
     ""Strong_Sell"": 0,
     ""Minimal_Strong_Sell"": 0,
     ""Exit_Sell"": null,
     ""bar"": {
         ""time"": ""2022-10-17T02:43:00Z"",
         ""open"": 19198,
         ""high"": 19201,
         ""low"": 19197,
         ""close"": 19201,
         ""volume"": 3586.1858}
     }",2022-10-17T02:43:41.000Z
624098604,"FTX:ETHUSD, 1m",,"{""passphrase"": ""8j4tr38j8jfsvdap98g"",
     ""ticker"": ""ETHUSD"",
     ""Buy"": 0,
     ""Minimal_Buy"": 0,
     ""Strong_Buy"": 1,
     ""Minimal_Strong_Buy"": 0,
     ""Exit_Buy"": null,
     ""Sell"": 0,
     ""Minimal_Sell"": 0,
     ""Strong_Sell"": 0,
     ""Minimal_Strong_Sell"": 0,
     ""Exit_Sell"": null,
     ""bar"": {
         ""time"": ""2022-10-17T02:43:00Z"",
         ""open"": 1300.5,
         ""high"": 1300.6,
         ""low"": 1300.4,
         ""close"": 1300.6,
         ""volume"": 17485.6325}
     }",2022-10-17T02:43:15.000Z
624098604,"FTX:ETHUSD, 1m",,"{""passphrase"": ""8j4tr38j8jfsvdap98g"",
     ""ticker"": ""ETHUSD"",
     ""Buy"": 0,
     ""Minimal_Buy"": 0,
     ""Strong_Buy"": 1,
     ""Minimal_Strong_Buy"": 0,
     ""Exit_Buy"": null,
     ""Sell"": 0,
     ""Minimal_Sell"": 0,
     ""Strong_Sell"": 0,
     ""Minimal_Strong_Sell"": 0,
     ""Exit_Sell"": null,
     ""bar"": {
         ""time"": ""2022-10-17T02:42:00Z"",
         ""open"": 1300,
         ""high"": 1300.6,
         ""low"": 1300,
         ""close"": 1300.6,
         ""volume"": 11616.3669}
     }",2022-10-17T02:42:24.000Z
624098604,"FTX:ETHUSD, 1m",,"{""passphrase"": ""8j4tr38j8jfsvdap98g"",
     ""ticker"": ""ETHUSD"",
     ""Buy"": 0,
     ""Minimal_Buy"": 0,
     ""Strong_Buy"": 0,
     ""Minimal_Strong_Buy"": 0,
     ""Exit_Buy"": null,
     ""Sell"": 1,
     ""Minimal_Sell"": 0,
     ""Strong_Sell"": 0,
     ""Minimal_Strong_Sell"": 0,
     ""Exit_Sell"": null,
     ""bar"": {
         ""time"": ""2022-10-17T02:35:00Z"",
         ""open"": 1299.7,
         ""high"": 1299.8,
         ""low"": 1299.5,
         ""close"": 1299.5,
         ""volume"": 29.8951}
     }",2022-10-17T02:35:39.000Z
624098559,"FTX:BTCUSD, 1m",,"{""passphrase"": ""8j4tr38j8jfsvdap98g"",
     ""ticker"": ""BTCUSD"",
     ""Buy"": 0,
     ""Minimal_Buy"": 0,
     ""Strong_Buy"": 0,
     ""Minimal_Strong_Buy"": 0,
     ""Exit_Buy"": null,
     ""Sell"": 1,
     ""Minimal_Sell"": 0,
     ""Strong_Sell"": 0,
     ""Minimal_Strong_Sell"": 0,
     ""Exit_Sell"": null,
     ""bar"": {
         ""time"": ""2022-10-17T02:35:00Z"",
         ""open"": 19197,
         ""high"": 19197,
         ""low"": 19192,
         ""close"": 19192,
         ""volume"": 2249.7449}
     }",2022-10-17T02:35:39.000Z
624098668,"FTX:MATICUSD, 1m",,"{""passphrase"": ""8j4tr38j8jfsvdap98g"",
     ""ticker"": ""MATICUSD"",
     ""Buy"": 0,
     ""Minimal_Buy"": 0,
     ""Strong_Buy"": 1,
     ""Minimal_Strong_Buy"": 0,
     ""Exit_Buy"": null,
     ""Sell"": 0,
     ""Minimal_Sell"": 0,
     ""Strong_Sell"": 0,
     ""Minimal_Strong_Sell"": 0,
     ""Exit_Sell"": null,
     ""bar"": {
         ""time"": ""2022-10-17T02:29:00Z"",
         ""open"": 0.8022,
         ""high"": 0.8026,
         ""low"": 0.8022,
         ""close"": 0.8026,
         ""volume"": 0}
     }",2022-10-17T02:29:10.000Z
624098559,"FTX:BTCUSD, 1m",,"{""passphrase"": ""8j4tr38j8jfsvdap98g"",
     ""ticker"": ""BTCUSD"",
     ""Buy"": 1,
     ""Minimal_Buy"": 0,
     ""Strong_Buy"": 0,
     ""Minimal_Strong_Buy"": 0,
     ""Exit_Buy"": null,
     ""Sell"": 0,
     ""Minimal_Sell"": 0,
     ""Strong_Sell"": 0,
     ""Minimal_Strong_Sell"": 0,
     ""Exit_Sell"": null,
     ""bar"": {
         ""time"": ""2022-10-17T02:13:00Z"",
         ""open"": 19193,
         ""high"": 19200,
         ""low"": 19192,
         ""close"": 19200,
         ""volume"": 22312.9565}
     }",2022-10-17T02:14:01.000Z
624098604,"FTX:ETHUSD, 1m",,"{""passphrase"": ""8j4tr38j8jfsvdap98g"",
     ""ticker"": ""ETHUSD"",
     ""Buy"": 1,
     ""Minimal_Buy"": 0,
     ""Strong_Buy"": 0,
     ""Minimal_Strong_Buy"": 0,
     ""Exit_Buy"": null,
     ""Sell"": 0,
     ""Minimal_Sell"": 0,
     ""Strong_Sell"": 0,
     ""Minimal_Strong_Sell"": 0,
     ""Exit_Sell"": null,
     ""bar"": {
         ""time"": ""2022-10-17T02:13:00Z"",
         ""open"": 1299.2,
         ""high"": 1300,
         ""low"": 1299.1,
         ""close"": 1300,
         ""volume"": 155807.6132}
     }",2022-10-17T02:13:53.000Z
624098506,"FTX:SOLUSD, 1m",,"{""passphrase"": ""8j4tr38j8jfsvdap98g"",
     ""ticker"": ""SOLUSD"",
     ""Buy"": 1,
     ""Minimal_Buy"": 0,
     ""Strong_Buy"": 0,
     ""Minimal_Strong_Buy"": 0,
     ""Exit_Buy"": null,
     ""Sell"": 0,
     ""Minimal_Sell"": 0,
     ""Strong_Sell"": 0,
     ""Minimal_Strong_Sell"": 0,
     ""Exit_Sell"": null,
     ""bar"": {
         ""time"": ""2022-10-17T02:13:00Z"",
         ""open"": 29.9125,
         ""high"": 29.93,
         ""low"": 29.9125,
         ""close"": 29.93,
         ""volume"": 691.592175}
     }",2022-10-17T02:13:38.000Z
